Classifier,Accuracy,ROC AUC,FPR,Precision,Recall,F1-score,TP,FP,TN,FN
NB,55.44,,,100.0,55.44,71.33,1127,0,0,906
DT,83.72,,,100.0,83.72,91.14,1702,0,0,331
KNN,76.93,,,100.0,76.93,86.96,1564,0,0,469
SVM,81.11,,,100.0,81.11,89.57,1649,0,0,384
RF,85.74,,,100.0,85.74,92.32,1743,0,0,290
