Classifier,Accuracy,ROC AUC,FPR,Precision,Recall,F1-score,TP,FP,TN,FN
NB,92.52,92.59,10.27,89.85,95.45,92.57,797,90,786,38
DT,93.34,93.4,9.25,90.83,96.05,93.36,802,81,795,33
KNN,98.77,98.75,0.34,99.63,97.84,98.73,817,3,873,18
SVM,99.42,99.41,0.34,99.64,99.16,99.4,828,3,873,7
RF,99.06,99.08,1.37,98.58,99.52,99.05,831,12,864,4
