,Classifier,Accuracy,ROC AUC,FPR,Precision,Recall,F1-score,TP,FP,TN,FN
0,NB,60.35,,,100.0,60.35,75.28,1227,0,0,806
1,DT,55.68,,,100.0,55.68,71.53,1132,0,0,901
2,KNN,58.58,,,100.0,58.58,73.88,1191,0,0,842
3,SVM,59.67,,,100.0,59.67,74.74,1213,0,0,820
4,RF,55.78,,,100.0,55.78,71.61,1134,0,0,899
