,Classifier,Accuracy,ROC AUC,FPR,Precision,Recall,F1-score,TP,FP,TN,FN
0,NB,99.36,99.36,0.57,99.4,99.28,99.34,829,5,871,6
1,DT,99.65,99.65,0.23,99.76,99.52,99.64,831,2,874,4
2,KNN,99.71,99.7,0.11,99.88,99.52,99.7,831,1,875,4
3,SVM,99.65,99.64,0.11,99.88,99.4,99.64,830,1,875,5
4,RF,99.71,99.7,0.11,99.88,99.52,99.7,831,1,875,4
