,Classifier,Accuracy,ROC AUC,FPR,Precision,Recall,F1-score,TP,FP,TN,FN
0,NB,60.11,,,100.0,60.11,75.08,1222,0,0,811
1,DT,56.17,,,100.0,56.17,71.94,1142,0,0,891
2,KNN,58.58,,,100.0,58.58,73.88,1191,0,0,842
3,SVM,58.78,,,100.0,58.78,74.04,1195,0,0,838
4,RF,52.04,,,100.0,52.04,68.46,1058,0,0,975
