,Classifier,Accuracy,ROC AUC,FPR,Precision,Recall,F1-score,TP,FP,TN,FN
0,NB,98.66,98.66,1.48,98.45,98.8,98.63,825,13,863,10
1,DT,99.71,99.71,0.23,99.76,99.64,99.7,832,2,874,3
2,KNN,99.42,99.42,0.8,99.17,99.64,99.4,832,7,869,3
3,SVM,99.47,99.47,0.34,99.64,99.28,99.46,829,3,873,6
4,RF,99.71,99.71,0.23,99.76,99.64,99.7,832,2,874,3
