,Classifier,Accuracy,ROC AUC,FPR,Precision,Recall,F1-score,TP,FP,TN,FN
0,NB,99.42,99.41,0.46,99.52,99.28,99.4,829,4,872,6
1,DT,99.53,99.53,0.46,99.52,99.52,99.52,831,4,872,4
2,KNN,99.47,99.48,0.91,99.05,99.88,99.46,834,8,868,1
3,SVM,99.77,99.77,0.34,99.64,99.88,99.76,834,3,873,1
4,RF,99.77,99.76,0.11,99.88,99.64,99.76,832,1,875,3
