,Classifier,Accuracy,ROC AUC,FPR,Precision,Recall,F1-score,TP,FP,TN,FN
0,NB,97.93,,,100.0,97.93,98.96,1991,0,0,42
1,DT,87.8,,,100.0,87.8,93.5,1785,0,0,248
2,KNN,89.82,,,100.0,89.82,94.64,1826,0,0,207
3,SVM,90.46,,,100.0,90.46,94.99,1839,0,0,194
4,RF,90.26,,,100.0,90.26,94.88,1835,0,0,198
