,Classifier,Accuracy,ROC AUC,FPR,Precision,Recall,F1-score,TP,FP,TN,FN
0,NB,99.3,99.31,1.26,98.7,99.88,99.29,834,11,865,1
1,DT,99.53,99.53,0.46,99.52,99.52,99.52,831,4,872,4
2,KNN,99.53,99.53,0.46,99.52,99.52,99.52,831,4,872,4
3,SVM,99.53,99.53,0.23,99.76,99.28,99.52,829,2,874,6
4,RF,99.65,99.64,0.11,99.88,99.4,99.64,830,1,875,5
