,Classifier,Accuracy,ROC AUC,FPR,Precision,Recall,F1-score,TP,FP,TN,FN
0,NB,98.23,,,100.0,98.23,99.11,1997,0,0,36
1,DT,90.16,,,100.0,90.16,94.83,1833,0,0,200
2,KNN,87.56,,,100.0,87.56,93.36,1780,0,0,253
3,SVM,96.31,,,100.0,96.31,98.12,1958,0,0,75
4,RF,97.59,,,100.0,97.59,98.78,1984,0,0,49
